"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMemcpy",5,135604076,27120815.200000,59.15,15611,135238776,60439810.191837
"hipMalloc",5,92941156,18588231.200000,40.54,1684,92930910,41558820.874291
"hipLaunchKernel",3,619245,206415.000000,0.2701,6744,599073,340068.225048
"hipFree",5,63800,12760.000000,0.0278,1642,55252,23757.753755
"hipDeviceSynchronize",2,32347,16173.500000,0.0141,12756,19591,4833.074849
"hipGetLastError",2,4602,2301.000000,2.007e-03,93,4509,3122.583546
