"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",22,229265226,10421146.636364,99.98,93,135238776,34182205.053976
"KERNEL_DISPATCH",4,38920,9730.000000,0.0170,3600,16080,6519.826174
